contamination,query_genus,target_genus,,I# query,I# target,query_seq,target_seq,,%similar,length of match (bp),tlength,qlength,mismatch,gapopen, qstart ,qend ,,tstart ,tend ,,evalue,note 
,Polistomorpha,Cameronella,,I29055,I29057,L906_MERG00178_0101_SUPERCONTIG,L906_MERG00265_0101_SUPERCONTIG,.,100.00,233,609,233,0,0,1,233,,216,448,,7.00E-123,withinloci
,Polistomorpha,Eunotus,,I29055,I24028,L432_MERG00178_0101_SUPERCONTIG,L430_MERG00284_0101_SUPERCONTIG,.,97.12,104,1206,1061,3,0,1,104,,96,199,,2.00E-42,betweenloci
,Polistomorpha,Grooca,,I29055,I29053,L501_MERG00178_0101_SUPERCONTIG,L500_MERG00248_0101_SUPERCONTIG,.,95.15,227,1256,1183,9,2,448,672,,872,1098,,8.00E-97,betweenloci
,Polistomorpha,Melanosmicra,,I29055,I21662,L432_MERG00178_0101_SUPERCONTIG,L430_MERG00062_0101_SUPERCONTIG,.,97.09,103,1787,1061,3,0,1,103,,371,473,,7.00E-42,betweenloci
,Polistomorpha,Micrapion,,I29055,I23249,L173_MERG00178_0101_SUPERCONTIG,L172_MERG00177_0101_SUPERCONTIG,.,95.65,69,1025,796,2,1,729,796,,936,1004,,2.00E-22,betweenloci
,Polistomorpha,Micrapion,,I29055,I23249,L64_MERG00178_0101_SUPERCONTIG,L63_MERG00177_0101_SUPERCONTIG,.,95.49,244,1698,411,8,3,7,249,,1275,1516,,3.00E-106,betweenloci
,Polistomorpha,Micrapion,,I29055,I23249,L64_MERG00178_0101_SUPERCONTIG,L65_MERG00177_0101_SUPERCONTIG,.,95.49,244,1421,411,8,3,7,249,,86,327,,3.00E-106,betweenloci
,Polistomorpha,Micrapion,,I29055,I23249,L709_MERG00178_0101_SUPERCONTIG,L710_MERG00177_0101_SUPERCONTIG,.,95.71,489,1173,820,19,1,202,690,,189,675,,0.0,betweenloci
,Polistomorpha,Micrapion,,I29055,I23249,L972_MERG00178_0101_SUPERCONTIG,L971_MERG00177_0101_SUPERCONTIG,.,97.14,385,1193,757,10,1,103,486,,807,1191,,0.0,betweenloci
,Polistomorpha,Micrapion,,I29055,I23249,L1030_MERG00178_0101_SUPERCONTIG,L1030_MERG00177_0101_SUPERCONTIG,.,95.87,412,785,623,17,0,212,623,,256,667,,0.0,withinloci
,Polistomorpha,Micrapion,,I29055,I23249,L173_MERG00178_0101_SUPERCONTIG,L173_MERG00177_0101_SUPERCONTIG,.,95.65,69,1143,796,2,1,729,796,,658,726,,1.00E-25,withinloci
,Polistomorpha,Micrapion,,I29055,I23249,L234_MERG00178_0101_SUPERCONTIG,L234_MERG00177_0101_SUPERCONTIG,.,95.26,823,1349,908,38,1,86,908,,394,1215,,0.0,withinloci
,Polistomorpha,Micrapion,,I29055,I23249,L432_MERG00178_0101_SUPERCONTIG,L432_MERG00177_0101_SUPERCONTIG,.,95.08,122,1066,1061,5,1,9,130,,1,121,,5.00E-50,withinloci
,Polistomorpha,Micrapion,,I29055,I23249,L64_MERG00178_0101_SUPERCONTIG,L64_MERG00177_0101_SUPERCONTIG,.,95.49,244,1174,411,8,3,7,249,,464,705,,3.00E-109,withinloci
,Polistomorpha,Micrapion,,I29055,I23249,L709_MERG00178_0101_SUPERCONTIG,L709_MERG00177_0101_SUPERCONTIG,.,95.71,489,1183,820,19,1,202,690,,425,911,,0.0,withinloci
,Polistomorpha,Sirovena,,I29055,I29047,L363_MERG00178_0101_SUPERCONTIG,L364_MERG00329_0101_SUPERCONTIG,.,100.00,559,631,2623,0,0,2065,2623,,1,559,,0.0,betweenloci
,Polistomorpha,Sirovena,,I29055,I29047,L398_MERG00178_0101_SUPERCONTIG,L398_MERG00329_0101_SUPERCONTIG,.,100.00,526,526,1276,0,0,502,1027,,1,526,,0.0,withinloci
,Polynema,Acmopolynema,,I26434,I29028,L112_MERG00205_0101_SUPERCONTIG,L112_MERG00187_0101_SUPERCONTIG,.,95.52,290,1441,885,13,0,347,636,,589,878,,3.00E-132,withinloci
,Polynema,Acmopolynema,,I26434,I29028,L501_MERG00205_0101_SUPERCONTIG,L501_MERG00187_0101_SUPERCONTIG,.,95.07,203,1247,870,10,0,336,538,,499,701,,7.00E-89,withinloci
,Polynema,Acmopolynema,,I26434,I29028,L858_MERG00205_0101_SUPERCONTIG,L858_MERG00187_0101_SUPERCONTIG,.,96.65,239,986,832,7,1,226,464,,475,712,,9.00E-112,withinloci
,Polynema,Bootanelleus,,I26434,I26432,L782_MERG00205_0101_SUPERCONTIG,L782_MERG00179_0101_SUPERCONTIG,.,100.00,286,1417,1033,0,0,1,286,,442,727,,1.00E-151,withinloci
,Polynema,Exopristoides,,I26434,I26437,L52_MERG00205_0101_SUPERCONTIG,L51_MERG00371_0101_SUPERCONTIG,.,100.00,334,1385,334,0,0,1,334,,652,985,,8.00E-176,betweenloci
,Polynema,Exopristoides,,I26434,I26437,L52_MERG00205_0101_SUPERCONTIG,L52_MERG00371_0101_SUPERCONTIG,.,100.00,334,1122,334,0,0,1,334,,188,521,,7.00E-179,withinloci
,Polynema,Exopristoides,,I26434,I26437,L919_MERG00205_0101_SUPERCONTIG,L919_MERG00371_0101_SUPERCONTIG,.,100.00,302,754,302,0,0,1,302,,276,577,,3.00E-161,withinloci
,Polynema,Neocalosoter,,I26434,I26458,L241_MERG00205_0101_SUPERCONTIG,L243_MERG00237_0101_SUPERCONTIG,.,100.00,220,1329,309,0,0,90,309,,1,220,,2.00E-112,betweenloci
,Polynema,Palachia,,I26434,I26445,L171_MERG00205_0101_SUPERCONTIG,L170_MERG00380_0101_SUPERCONTIG,.,100.00,355,1572,355,0,0,1,355,,1112,1466,,0.0,betweenloci
,Polynema,Palachia,,I26434,I26445,L171_MERG00205_0101_SUPERCONTIG,L171_MERG00380_0101_SUPERCONTIG,.,100.00,355,1152,355,0,0,1,355,,484,838,,0.0,withinloci
,Polynema,Protanaostigma,,I26434,I23220,L277_MERG00205_0101_SUPERCONTIG,L277_MERG00361_0101_SUPERCONTIG,.,99.60,494,788,494,2,0,1,494,,95,588,,0.0,withinloci
,Polynema,Rileya,,I26434,I26424,L889_MERG00205_0101_SUPERCONTIG,L888_MERG00175_0101_SUPERCONTIG,.,99.67,304,1549,304,1,0,1,304,,1187,1490,,2.00E-157,betweenloci
,Polynema,Rileya,,I26434,I26416,L889_MERG00205_0101_SUPERCONTIG,L888_MERG00173_0101_SUPERCONTIG,.,99.34,304,1727,304,2,0,1,304,,1207,1510,,8.00E-156,betweenloci
,Polynema,Rileya,,I26434,I26424,L889_MERG00205_0101_SUPERCONTIG,L889_MERG00175_0101_SUPERCONTIG,.,100.00,304,1389,304,0,0,1,304,,445,748,,5.00E-162,withinloci
,Poropoea,Adontomerus,,I29006,I29034,L889_MERG00393_0101_SUPERCONTIG,L888_MERG00375_0101_SUPERCONTIG,.,96.97,264,1358,1321,8,0,1,264,,943,1206,,6.00E-123,betweenloci
,Poropoea,Glyphomerus,,I29006,I24051,L451_MERG00393_0101_SUPERCONTIG,L452_MERG00373_0101_SUPERCONTIG,.,98.69,229,738,372,3,0,118,346,,3,231,,2.00E-112,betweenloci
,Poropoea,Physothorax,,I29006,I28990,L293_MERG00393_0101_SUPERCONTIG,L293_MERG00385_0101_SUPERCONTIG,.,97.62,84,585,207,2,0,65,148,,319,402,,5.00E-37,withinloci
,Poropoea,Polistomorpha,,I29006,I29055,L293_MERG00393_0101_SUPERCONTIG,L774_MERG00178_0101_SUPERCONTIG,.,97.06,68,578,207,2,0,1,68,,6,73,,8.00E-25,betweenloci
,Poropoea,Pseudidarnes,,I29006,I29052,L1000_MERG00393_0101_SUPERCONTIG,L999_MERG00010_0101_SUPERCONTIG,.,100.00,329,795,454,0,0,1,329,,467,795,,7.00E-173,betweenloci
,Poropoea,Pseudidarnes,,I29006,I29052,L149_MERG00393_0101_SUPERCONTIG,L150_MERG00010_0101_SUPERCONTIG,.,100.00,196,1013,360,0,0,165,360,,1,196,,5.00E-99,betweenloci
,Poropoea,Pseudidarnes,,I29006,I29052,L176_MERG00393_0101_SUPERCONTIG,L175_MERG00010_0101_SUPERCONTIG,.,99.42,516,825,539,3,0,1,516,,310,825,,0.0,betweenloci
,Poropoea,Pseudidarnes,,I29006,I29052,L176_MERG00393_0101_SUPERCONTIG,L177_MERG00010_0101_SUPERCONTIG,.,99.57,460,1320,539,2,0,80,539,,1,460,,0.0,betweenloci
,Poropoea,Pseudidarnes,,I29006,I29052,L377_MERG00393_0101_SUPERCONTIG,L378_MERG00010_0101_SUPERCONTIG,.,100.00,335,1204,1566,0,0,1232,1566,,1,335,,1.00E-175,betweenloci
,Poropoea,Pseudidarnes,,I29006,I29052,L505_MERG00393_0101_SUPERCONTIG,L506_MERG00010_0101_SUPERCONTIG,.,99.71,340,844,369,1,0,30,369,,1,340,,2.00E-177,betweenloci
,Poropoea,Pseudidarnes,,I29006,I29052,L576_MERG00393_0101_SUPERCONTIG,L577_MERG00010_0101_SUPERCONTIG,.,100.00,556,1003,556,0,0,1,556,,69,624,,0.0,betweenloci
,Poropoea,Pseudidarnes,,I29006,I29052,L617_MERG00393_0101_SUPERCONTIG,L618_MERG00010_0101_SUPERCONTIG,.,100.00,235,1030,235,0,0,1,235,,58,292,,6.00E-121,betweenloci
,Poropoea,Pseudidarnes,,I29006,I29052,L617_MERG00393_0101_SUPERCONTIG,L616_MERG00010_0101_SUPERCONTIG,.,100.00,235,884,235,0,0,1,235,,568,802,,6.00E-121,betweenloci
,Poropoea,Pseudidarnes,,I29006,I29052,L959_MERG00393_0101_SUPERCONTIG,L958_MERG00010_0101_SUPERCONTIG,.,99.73,368,809,368,1,0,1,368,,351,718,,0.0,betweenloci
,Poropoea,Pseudidarnes,,I29006,I29052,L959_MERG00393_0101_SUPERCONTIG,L957_MERG00010_0101_SUPERCONTIG,.,100.00,231,620,368,0,0,1,231,,390,620,,2.00E-118,betweenloci
,Poropoea,Pseudidarnes,,I29006,I29052,L1000_MERG00393_0101_SUPERCONTIG,L1000_MERG00010_0101_SUPERCONTIG,.,99.56,454,816,454,2,0,1,454,,323,776,,0.0,withinloci
,Poropoea,Pseudidarnes,,I29006,I29052,L1003_MERG00393_0101_SUPERCONTIG,L1003_MERG00010_0101_SUPERCONTIG,.,100.00,232,874,590,0,0,1,232,,251,482,,9.00E-122,withinloci
,Poropoea,Pseudidarnes,,I29006,I29052,L149_MERG00393_0101_SUPERCONTIG,L149_MERG00010_0101_SUPERCONTIG,.,100.00,360,832,360,0,0,1,360,,186,545,,0.0,withinloci
,Poropoea,Pseudidarnes,,I29006,I29052,L176_MERG00393_0101_SUPERCONTIG,L176_MERG00010_0101_SUPERCONTIG,.,99.81,539,899,539,1,0,1,539,,113,651,,0.0,withinloci
,Poropoea,Pseudidarnes,,I29006,I29052,L332_MERG00393_0101_SUPERCONTIG,L332_MERG00010_0101_SUPERCONTIG,.,100.00,265,1080,693,0,0,429,693,,386,650,,6.00E-140,withinloci
,Poropoea,Pseudidarnes,,I29006,I29052,L358_MERG00393_0101_SUPERCONTIG,L358_MERG00010_0101_SUPERCONTIG,.,100.00,1009,1605,2556,0,0,1548,2556,,440,1448,,0.0,withinloci
,Poropoea,Pseudidarnes,,I29006,I29052,L398_MERG00393_0101_SUPERCONTIG,L398_MERG00010_0101_SUPERCONTIG,.,100.00,317,708,317,0,0,1,317,,207,523,,2.00E-169,withinloci
,Poropoea,Pseudidarnes,,I29006,I29052,L437_MERG00393_0101_SUPERCONTIG,L437_MERG00010_0101_SUPERCONTIG,.,100.00,255,909,255,0,0,1,255,,283,537,,4.00E-135,withinloci
,Poropoea,Pseudidarnes,,I29006,I29052,L438_MERG00393_0101_SUPERCONTIG,L438_MERG00010_0101_SUPERCONTIG,.,100.00,439,1002,439,0,0,1,439,,277,715,,0.0,withinloci
,Poropoea,Pseudidarnes,,I29006,I29052,L505_MERG00393_0101_SUPERCONTIG,L505_MERG00010_0101_SUPERCONTIG,.,99.73,369,1009,369,1,0,1,369,,379,747,,0.0,withinloci
,Poropoea,Pseudidarnes,,I29006,I29052,L576_MERG00393_0101_SUPERCONTIG,L576_MERG00010_0101_SUPERCONTIG,.,100.00,556,668,556,0,0,1,556,,99,654,,0.0,withinloci
,Poropoea,Pseudidarnes,,I29006,I29052,L617_MERG00393_0101_SUPERCONTIG,L617_MERG00010_0101_SUPERCONTIG,.,100.00,235,934,235,0,0,1,235,,244,478,,5.00E-124,withinloci
,Poropoea,Pseudidarnes,,I29006,I29052,L894_MERG00393_0101_SUPERCONTIG,L894_MERG00010_0101_SUPERCONTIG,.,100.00,260,1511,260,0,0,1,260,,236,495,,2.00E-137,withinloci
,Poropoea,Pseudidarnes,,I29006,I29052,L959_MERG00393_0101_SUPERCONTIG,L959_MERG00010_0101_SUPERCONTIG,.,99.73,368,673,368,1,0,1,368,,215,582,,0.0,withinloci
,Poropoea,Pseudidarnes,,I29006,I29052,L377_MERG00393_0101_SUPERCONTIG,L377_MERG00010_0101_SUPERCONTIG,.,97.36,455,2147,1566,12,0,1112,1566,,1199,1653,,0.0,withinloci
,Poropoea,Torymus,,I29006,I28964,L451_MERG00393_0101_SUPERCONTIG,L451_MERG00388_0101_SUPERCONTIG,.,95.08,264,668,372,13,0,83,346,,136,399,,4.00E-118,withinloci
,Premiscogaster,Callocleonymus,,I26380,I29032,L241_MERG00328_0101_SUPERCONTIG,L242_MERG00242_0101_SUPERCONTIG,.,95.21,188,1017,1093,7,2,455,640,,5,192,,2.00E-78,betweenloci
,Premiscogaster,Euryischia,,I26380,I23222,L501_MERG00328_0101_SUPERCONTIG,L502_MERG00092_0101_SUPERCONTIG,.,96.15,208,1513,1036,8,0,490,697,,23,230,,7.00E-92,betweenloci
,Premiscogaster,Euryischomyia,,I26380,I21638,L419_MERG00328_0101_SUPERCONTIG,L420_MERG00093_0101_SUPERCONTIG,.,95.09,163,1818,1156,8,0,431,593,,135,297,,8.00E-67,betweenloci
,Premiscogaster,Eutrichosomella,,I26380,I26374,L493_MERG00328_0101_SUPERCONTIG,L494_MERG00019_0101_SUPERCONTIG,.,100.00,315,738,315,0,0,1,315,,20,334,,3.00E-165,betweenloci
,Premiscogaster,Eutrichosomella,,I26380,I26374,L493_MERG00328_0101_SUPERCONTIG,L493_MERG00019_0101_SUPERCONTIG,.,100.00,315,754,315,0,0,1,315,,352,666,,3.00E-168,withinloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L681_MERG00328_0101_SUPERCONTIG,L680_MERG00326_0101_SUPERCONTIG,.,95.53,179,638,483,8,0,15,193,,460,638,,4.00E-76,betweenloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L829_MERG00328_0101_SUPERCONTIG,L830_MERG00326_0101_SUPERCONTIG,.,97.00,100,718,303,3,0,204,303,,1,100,,9.00E-41,betweenloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L112_MERG00328_0101_SUPERCONTIG,L112_MERG00326_0101_SUPERCONTIG,.,97.29,295,848,1401,8,0,584,878,,263,557,,4.00E-143,withinloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L145_MERG00328_0101_SUPERCONTIG,L145_MERG00326_0101_SUPERCONTIG,.,95.36,280,725,844,13,0,279,558,,154,433,,1.00E-126,withinloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L176_MERG00328_0101_SUPERCONTIG,L176_MERG00326_0101_SUPERCONTIG,.,95.33,150,840,1141,7,0,135,284,,1,150,,3.00E-64,withinloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L464_MERG00328_0101_SUPERCONTIG,L464_MERG00326_0101_SUPERCONTIG,.,97.33,75,879,951,2,0,1,75,,31,105,,6.00E-31,withinloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L478_MERG00328_0101_SUPERCONTIG,L478_MERG00326_0101_SUPERCONTIG,.,95.05,1031,1173,1442,51,0,147,1177,,143,1173,,0.0,withinloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L541_MERG00328_0101_SUPERCONTIG,L541_MERG00326_0101_SUPERCONTIG,.,95.42,284,818,978,13,0,364,647,,345,628,,7.00E-129,withinloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L776_MERG00328_0101_SUPERCONTIG,L776_MERG00326_0101_SUPERCONTIG,.,96.30,189,684,850,5,2,658,845,,478,665,,1.00E-85,withinloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L804_MERG00328_0101_SUPERCONTIG,L804_MERG00326_0101_SUPERCONTIG,.,95.41,283,715,919,13,0,240,522,,194,476,,2.00E-128,withinloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L821_MERG00328_0101_SUPERCONTIG,L821_MERG00326_0101_SUPERCONTIG,.,96.19,341,849,663,11,2,50,389,,237,576,,4.00E-160,withinloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L899_MERG00328_0101_SUPERCONTIG,L899_MERG00326_0101_SUPERCONTIG,.,96.58,790,1014,1382,27,0,115,904,,225,1014,,0.0,withinloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L920_MERG00328_0101_SUPERCONTIG,L920_MERG00326_0101_SUPERCONTIG,.,98.24,170,779,706,3,0,221,390,,298,467,,2.00E-82,withinloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L952_MERG00328_0101_SUPERCONTIG,L952_MERG00326_0101_SUPERCONTIG,.,95.35,215,735,741,10,0,243,457,,264,478,,1.00E-95,withinloci
,Premiscogaster,Gastrancistrus,,I26380,I27425,L952_MERG00328_0101_SUPERCONTIG,L952_MERG00326_0101_SUPERCONTIG,.,98.57,70,735,741,1,0,1,70,,15,84,,5.00E-30,withinloci
,Premiscogaster,Macroglenes,,I26380,I21917,L550_MERG00328_0101_SUPERCONTIG,L549_MERG00327_0101_SUPERCONTIG,.,95.76,118,1062,415,5,0,1,118,,762,879,,3.00E-47,betweenloci
,Premiscogaster,Ormocerus,,I26380,I24033,L500_MERG00328_0101_SUPERCONTIG,L501_MERG00318_0101_SUPERCONTIG,.,95.30,149,819,1019,7,0,299,447,,8,156,,9.00E-61,betweenloci
,Proarescon,Adontomerus,,I28992,I29034,L436_MERG00206_0101_SUPERCONTIG,L436_MERG00375_0101_SUPERCONTIG,.,97.17,247,961,331,7,0,1,247,,553,799,,6.00E-119,withinloci
,Proarescon,Adontomerus,,I28992,I29034,L524_MERG00206_0101_SUPERCONTIG,L524_MERG00375_0101_SUPERCONTIG,.,96.86,255,1935,587,8,0,4,258,,718,972,,7.00E-121,withinloci
,Proarescon,Cales,,I28992,I28984,L155_MERG00206_0101_SUPERCONTIG,L154_MERG00027_0101_SUPERCONTIG,.,99.75,395,463,564,1,0,3,397,,69,463,,0.0,betweenloci
,Proarescon,Cales,,I28992,I28984,L620_MERG00206_0101_SUPERCONTIG,L623_MERG00027_0101_SUPERCONTIG,.,100.00,212,862,823,0,0,612,823,,1,212,,1.00E-107,betweenloci
,Proarescon,Cales,,I28992,I28984,L622_MERG00206_0101_SUPERCONTIG,L623_MERG00027_0101_SUPERCONTIG,.,100.00,422,862,1040,0,0,441,862,,1,422,,0.0,betweenloci
,Proarescon,Cales,,I28992,I28984,L1003_MERG00206_0101_SUPERCONTIG,L1003_MERG00027_0101_SUPERCONTIG,.,100.00,323,323,989,0,0,412,734,,1,323,,4.00E-172,withinloci
,Proarescon,Cales,,I28992,I28984,L154_MERG00206_0101_SUPERCONTIG,L154_MERG00027_0101_SUPERCONTIG,.,99.57,463,463,875,2,0,321,783,,1,463,,0.0,withinloci
,Proarescon,Cales,,I28992,I28984,L175_MERG00206_0101_SUPERCONTIG,L175_MERG00027_0101_SUPERCONTIG,.,100.00,227,227,805,0,0,333,559,,1,227,,6.00E-119,withinloci
,Proarescon,Cales,,I28992,I28984,L221_MERG00206_0101_SUPERCONTIG,L221_MERG00027_0101_SUPERCONTIG,.,100.00,441,777,1089,0,0,362,802,,1,441,,0.0,withinloci
,Proarescon,Cales,,I28992,I28984,L225_MERG00206_0101_SUPERCONTIG,L225_MERG00027_0101_SUPERCONTIG,.,100.00,254,254,1083,0,0,629,882,,1,254,,1.00E-133,withinloci
,Proarescon,Cales,,I28992,I28984,L617_MERG00206_0101_SUPERCONTIG,L617_MERG00027_0101_SUPERCONTIG,.,100.00,266,266,632,0,0,306,571,,1,266,,9.00E-141,withinloci
,Proarescon,Cales,,I28992,I28984,L669_MERG00206_0101_SUPERCONTIG,L669_MERG00027_0101_SUPERCONTIG,.,99.73,372,372,846,1,0,268,639,,1,372,,0.0,withinloci
,Proarescon,Cales,,I28992,I28984,L717_MERG00206_0101_SUPERCONTIG,L717_MERG00027_0101_SUPERCONTIG,.,100.00,237,305,422,0,0,1,237,,69,305,,2.00E-124,withinloci
,Proarescon,Cales,,I28992,I28984,L752_MERG00206_0101_SUPERCONTIG,L752_MERG00027_0101_SUPERCONTIG,.,100.00,312,584,941,0,0,159,470,,1,312,,4.00E-166,withinloci
,Proarescon,Cales,,I28992,I28984,L943_MERG00206_0101_SUPERCONTIG,L943_MERG00027_0101_SUPERCONTIG,.,100.00,331,331,678,0,0,151,481,,1,331,,3.00E-177,withinloci
,Proarescon,Cales,,I28992,I28984,L985_MERG00206_0101_SUPERCONTIG,L985_MERG00027_0101_SUPERCONTIG,.,99.71,341,1245,1055,1,0,213,553,,632,972,,2.00E-180,withinloci
,Proarescon,Cales,,I28992,I28984,L986_MERG00206_0101_SUPERCONTIG,L986_MERG00027_0101_SUPERCONTIG,.,100.00,321,321,668,0,0,122,442,,1,321,,3.00E-171,withinloci
,Proarescon,Callocleonymus,,I28992,I29032,L436_MERG00206_0101_SUPERCONTIG,L437_MERG00242_0101_SUPERCONTIG,.,100.00,277,419,331,0,0,55,331,,1,277,,4.00E-144,betweenloci
,Proarescon,Idarnotorymus,,I28992,I28994,L356_MERG00206_0101_SUPERCONTIG,L356_MERG00376_0101_SUPERCONTIG,.,100.00,259,359,939,0,0,262,520,,1,259,,1.00E-136,withinloci
,Proarescon,Idarnotorymus,,I28992,I28994,L436_MERG00206_0101_SUPERCONTIG,L437_MERG00376_0101_SUPERCONTIG,.,95.55,247,1261,331,11,0,1,247,,215,461,,4.00E-109,betweenloci
,Proarescon,Mymaromma,,I28992,I28968,L1046_MERG00206_0101_SUPERCONTIG,L1046_MERG00416_0101_SUPERCONTIG,.,100.00,239,239,745,0,0,296,534,,1,239,,1.00E-125,withinloci
,Proarescon,Umairia,,I28992,I28979,L512_MERG00206_0101_SUPERCONTIG,L512_MERG00023_0101_SUPERCONTIG,.,99.65,287,684,287,1,0,1,287,,206,492,,4.00E-151,withinloci
,Proarescon,Umairia,,I28992,I28979,L63_MERG00206_0101_SUPERCONTIG,L63_MERG00023_0101_SUPERCONTIG,.,100.00,269,1532,269,0,0,1,269,,695,963,,2.00E-142,withinloci
,Prococcophagus,Brachyelatus,,I29000,I21672,L564_MERG00049_0101_SUPERCONTIG,L562_MERG00211_0101_SUPERCONTIG,.,95.61,114,1160,1003,5,0,2,115,,659,772,,1.00E-44,betweenloci
,Prococcophagus,Heydenia,,I28980,I23250,L400_MERG00048_0101_SUPERCONTIG,L399_MERG00249_0101_SUPERCONTIG,.,95.31,192,1177,840,9,0,335,526,,743,934,,2.00E-81,betweenloci
,Prococcophagus,Liepara,,I29000,I24025,L501_MERG00049_0101_SUPERCONTIG,L500_MERG00296_0101_SUPERCONTIG,.,96.27,161,764,172,6,0,9,169,,562,722,,6.00E-70,betweenloci
,Prococcophagus,Microdontomerus,,I28980,I29033,L501_MERG00048_0101_SUPERCONTIG,L501_MERG00377_0101_SUPERCONTIG,.,97.21,215,1502,1057,6,0,383,597,,650,864,,4.00E-102,withinloci
,Prococcophagus,Physothorax,,I29000,I28990,L764_MERG00049_0101_SUPERCONTIG,L763_MERG00385_0101_SUPERCONTIG,.,96.12,309,1244,362,12,0,51,359,,789,1097,,7.00E-142,betweenloci
,Prococcophagus,Plutothrix,,I28980,I21925,L501_MERG00048_0101_SUPERCONTIG,L500_MERG00341_0101_SUPERCONTIG,.,96.59,205,1155,1057,7,0,390,594,,833,1037,,7.00E-92,betweenloci
,Prococcophagus,Plutothrix,,I29000,I21925,L501_MERG00049_0101_SUPERCONTIG,L500_MERG00341_0101_SUPERCONTIG,.,98.09,157,1155,172,3,0,13,169,,836,992,,1.00E-72,betweenloci
,Prococcophagus,Stethynium,,I28980,I21938,L232_MERG00048_0101_SUPERCONTIG,L232_MERG00207_0101_SUPERCONTIG,.,96.99,266,1064,262,4,1,1,262,,350,615,,1.00E-126,withinloci
,Prococcophagus,Torymus,,I29000,I29037,L764_MERG00049_0101_SUPERCONTIG,L763_MERG00389_0101_SUPERCONTIG,.,96.50,314,1284,362,11,0,41,354,,738,1051,,3.00E-146,betweenloci
,Promuscidea,Ablerus,,I27405,I26415,L554_MERG00091_0101_SUPERCONTIG,L2_MERG00054_0101_SUPERCONTIG,.,98.65,74,747,285,0,1,212,285,,675,747,,4.00E-29,betweenloci
,Promuscidea,Echthrodape,,I27405,I26429,L554_MERG00091_0101_SUPERCONTIG,L2_MERG00374_0101_SUPERCONTIG,.,100.00,70,1162,285,0,0,216,285,,970,901,,4.00E-29,betweenloci
,Promuscidea,Epistenia,,I27405,I23214,L1006_MERG00091_0101_SUPERCONTIG,L1006_MERG00246_0101_SUPERCONTIG,.,96.48,199,1189,407,7,0,1,199,,567,765,,6.00E-92,withinloci
,Promuscidea,Euderomphale,,I27405,I26463,L527_MERG00091_0101_SUPERCONTIG,L196_MERG00111_0101_SUPERCONTIG,.,100.00,72,384,373,0,0,1,72,,384,313,,4.00E-30,betweenloci
,Promuscidea,Euderomphale,,I27405,I26463,L527_MERG00091_0101_SUPERCONTIG,L688_MERG00111_0101_SUPERCONTIG,.,100.00,71,371,373,0,0,1,71,,371,301,,2.00E-29,betweenloci
,Promuscidea,Eunotiscus,,I27405,I27411,L358_MERG00091_0101_SUPERCONTIG,L358_MERG00090_0101_SUPERCONTIG,.,95.27,169,1767,1543,8,0,1099,1267,,1337,1505,,1.00E-72,withinloci
,Promuscidea,Eunotiscus,,I27405,I27411,L422_MERG00091_0101_SUPERCONTIG,L422_MERG00090_0101_SUPERCONTIG,.,95.60,91,797,599,2,1,506,596,,638,726,,4.00E-36,withinloci
,Promuscidea,Eunotiscus,,I27405,I27411,L444_MERG00091_0101_SUPERCONTIG,L444_MERG00090_0101_SUPERCONTIG,.,95.58,385,1011,710,16,1,214,597,,318,702,,9.00E-178,withinloci
,Promuscidea,Eunotiscus,,I27405,I27411,L627_MERG00091_0101_SUPERCONTIG,L627_MERG00090_0101_SUPERCONTIG,.,95.70,279,830,428,12,0,150,428,,309,587,,5.00E-128,withinloci
,Promuscidea,Eunotiscus,,I27405,I27411,L851_MERG00091_0101_SUPERCONTIG,L851_MERG00090_0101_SUPERCONTIG,.,95.38,195,758,616,8,1,220,414,,298,491,,8.00E-86,withinloci
,Promuscidea,Eunotus,,I27405,I24028,L358_MERG00091_0101_SUPERCONTIG,L477_MERG00284_0101_SUPERCONTIG,.,100.00,71,1860,1543,0,0,963,1033,,456,386,,7.00E-29,betweenloci
,Promuscidea,Eunotus,,I27405,I24028,L358_MERG00091_0101_SUPERCONTIG,L477_MERG00284_0101_SUPERCONTIG,.,100.00,67,1860,1543,0,0,1032,1098,,389,455,,1.00E-26,betweenloci
,Promuscidea,Euryischia,,I27405,I23222,L501_MERG00091_0101_SUPERCONTIG,L502_MERG00092_0101_SUPERCONTIG,.,95.50,222,1513,655,9,1,171,391,,9,230,,5.00E-96,betweenloci
,Promuscidea,Euryischia,,I27405,I23222,L501_MERG00091_0101_SUPERCONTIG,L501_MERG00092_0101_SUPERCONTIG,.,95.50,222,1408,655,9,1,171,391,,505,726,,5.00E-99,withinloci
